G                               1         0.0000000000      0.0000000000      0.0000000000      0.0000000000
A                              52         0.8105522761      0.5000000000      0.5000000000      0.0000000000
X                             103         1.6171750198      0.0000000000      0.5000000000      0.0000000000
Z                             154         2.4277272959      0.5000000000      0.0000000000      0.0000000000
