  0.00000000E+00 -0.20529662E+02  0.24445717E-03
  0.15893182E-01 -0.20529209E+02  0.24444605E-03
  0.31786364E-01 -0.20527924E+02  0.24454757E-03
  0.47679546E-01 -0.20525809E+02  0.24476463E-03
  0.63572728E-01 -0.20522865E+02  0.24510032E-03
  0.79465909E-01 -0.20519097E+02  0.24555781E-03
  0.95359091E-01 -0.20514508E+02  0.24614023E-03
  0.11125227E+00 -0.20509105E+02  0.24685058E-03
  0.12714546E+00 -0.20502892E+02  0.24769166E-03
  0.14303864E+00 -0.20495876E+02  0.24866604E-03
  0.15893182E+00 -0.20488062E+02  0.24977602E-03
  0.17482500E+00 -0.20479459E+02  0.25102371E-03
  0.19071818E+00 -0.20470074E+02  0.25241104E-03
  0.20661136E+00 -0.20459914E+02  0.25393985E-03
  0.22250455E+00 -0.20448989E+02  0.25561204E-03
  0.23839773E+00 -0.20437307E+02  0.25742963E-03
  0.25429091E+00 -0.20424879E+02  0.25939488E-03
  0.27018409E+00 -0.20411714E+02  0.26151043E-03
  0.28607727E+00 -0.20397823E+02  0.26377938E-03
  0.30197046E+00 -0.20383220E+02  0.26620533E-03
  0.31786364E+00 -0.20367918E+02  0.26879248E-03
  0.33375682E+00 -0.20351933E+02  0.27154560E-03
  0.34965000E+00 -0.20335281E+02  0.27447009E-03
  0.36554318E+00 -0.20317981E+02  0.27757193E-03
  0.38143637E+00 -0.20300054E+02  0.28085765E-03
  0.39732955E+00 -0.20281526E+02  0.28433430E-03
  0.41322273E+00 -0.20262422E+02  0.28800937E-03
  0.42911591E+00 -0.20242773E+02  0.29189077E-03
  0.44500909E+00 -0.20222615E+02  0.29598678E-03
  0.46090227E+00 -0.20201985E+02  0.30030595E-03
  0.47679546E+00 -0.20180928E+02  0.30485706E-03
  0.49268864E+00 -0.20159494E+02  0.30964903E-03
  0.50858182E+00 -0.20137739E+02  0.31469074E-03
  0.52447500E+00 -0.20115726E+02  0.31999079E-03
  0.54036818E+00 -0.20093527E+02  0.32555711E-03
  0.55626137E+00 -0.20071223E+02  0.33139638E-03
  0.57215455E+00 -0.20048907E+02  0.33751302E-03
  0.58804773E+00 -0.20026683E+02  0.34390790E-03
  0.60394091E+00 -0.20004668E+02  0.35057636E-03
  0.61983409E+00 -0.19982997E+02  0.35750550E-03
  0.63572728E+00 -0.19961822E+02  0.36467061E-03
  0.65162046E+00 -0.19941313E+02  0.37203060E-03
  0.66751364E+00 -0.19921662E+02  0.37952245E-03
  0.68340682E+00 -0.19903082E+02  0.38705507E-03
  0.69930000E+00 -0.19885805E+02  0.39450323E-03
  0.71519318E+00 -0.19870082E+02  0.40170313E-03
  0.73108637E+00 -0.19856175E+02  0.40845151E-03
  0.74697955E+00 -0.19844347E+02  0.41451122E-03
  0.76287273E+00 -0.19834849E+02  0.41962550E-03
  0.77876591E+00 -0.19827906E+02  0.42354182E-03
  0.79465909E+00 -0.19823692E+02  0.42604314E-03
  0.81055228E+00 -0.19822322E+02  0.42698028E-03
  0.82636841E+00 -0.19823692E+02  0.42604319E-03
  0.84218454E+00 -0.19827906E+02  0.42354192E-03
  0.85800067E+00 -0.19834849E+02  0.41962563E-03
  0.87381680E+00 -0.19844347E+02  0.41451140E-03
  0.88963294E+00 -0.19856175E+02  0.40845172E-03
  0.90544907E+00 -0.19870082E+02  0.40170337E-03
  0.92126520E+00 -0.19885805E+02  0.39450350E-03
  0.93708133E+00 -0.19903082E+02  0.38705535E-03
  0.95289747E+00 -0.19921662E+02  0.37952275E-03
  0.96871360E+00 -0.19941313E+02  0.37203091E-03
  0.98452973E+00 -0.19961822E+02  0.36467093E-03
  0.10003459E+01 -0.19982997E+02  0.35750582E-03
  0.10161620E+01 -0.20004668E+02  0.35057666E-03
  0.10319781E+01 -0.20026683E+02  0.34390817E-03
  0.10477943E+01 -0.20048907E+02  0.33751324E-03
  0.10636104E+01 -0.20071223E+02  0.33139656E-03
  0.10794265E+01 -0.20093527E+02  0.32555727E-03
  0.10952427E+01 -0.20115726E+02  0.31999093E-03
  0.11110588E+01 -0.20137739E+02  0.31469091E-03
  0.11268749E+01 -0.20159494E+02  0.30964927E-03
  0.11426911E+01 -0.20180928E+02  0.30485740E-03
  0.11585072E+01 -0.20201985E+02  0.30030642E-03
  0.11743233E+01 -0.20222615E+02  0.29598739E-03
  0.11901394E+01 -0.20242774E+02  0.29189152E-03
  0.12059556E+01 -0.20262422E+02  0.28801021E-03
  0.12217717E+01 -0.20281526E+02  0.28433520E-03
  0.12375878E+01 -0.20300055E+02  0.28085856E-03
  0.12534040E+01 -0.20317981E+02  0.27757279E-03
  0.12692201E+01 -0.20335281E+02  0.27447084E-03
  0.12850362E+01 -0.20351933E+02  0.27154622E-03
  0.13008524E+01 -0.20367919E+02  0.26879296E-03
  0.13166685E+01 -0.20383220E+02  0.26620570E-03
  0.13324846E+01 -0.20397823E+02  0.26377968E-03
  0.13483008E+01 -0.20411714E+02  0.26151072E-03
